option,accuracy,operations saved,total operations,% saved
"[6, 2, 6, 0, 21]",39.1,10191518,20160000,0.5055316468253969
"[6, 2, 6, 0, 22]",39.1,10191518,20160000,0.5055316468253969
"[6, 2, 6, 0, 23]",39.1,10191518,20160000,0.5055316468253969
"[6, 2, 6, 0, 24]",39.1,10191518,20160000,0.5055316468253969
"[6, 2, 6, 0, 25]",39.1,10191518,20160000,0.5055316468253969
"[6, 2, 6, 0, 26]",39.1,10191518,20160000,0.5055316468253969
"[6, 2, 6, 0, 27]",39.1,10191518,20160000,0.5055316468253969
"[6, 2, 6, 0, 28]",39.1,10191518,20160000,0.5055316468253969
"[6, 2, 6, 0, 29]",35.9,10149959,20160000,0.5034701884920635
"[6, 2, 6, 0, 30]",35.9,10149959,20160000,0.5034701884920635
"[6, 2, 6, 0, 31]",35.9,10149959,20160000,0.5034701884920635
"[6, 2, 6, 0, 32]",35.9,10149959,20160000,0.5034701884920635
"[6, 2, 6, 0, 33]",35.9,10149959,20160000,0.5034701884920635
"[6, 2, 6, 0, 34]",38.1,10112702,20160000,0.5016221230158731
"[6, 2, 6, 0, 35]",38.1,10112702,20160000,0.5016221230158731
"[6, 2, 6, 0, 36]",38.1,10112702,20160000,0.5016221230158731
"[6, 2, 6, 0, 37]",38.1,10112702,20160000,0.5016221230158731
"[6, 2, 6, 0, 38]",38.1,10112702,20160000,0.5016221230158731
"[6, 2, 6, 0, 39]",38.1,10112702,20160000,0.5016221230158731
"[6, 2, 6, 0, 40]",38.1,10112702,20160000,0.5016221230158731
"[6, 2, 6, 0, 41]",38.1,10112702,20160000,0.5016221230158731
"[6, 2, 6, 0, 42]",38.1,10112702,20160000,0.5016221230158731
"[6, 2, 6, 0, 43]",38.1,10112702,20160000,0.5016221230158731
"[6, 2, 6, 0, 44]",34.1,10120832,20160000,0.5020253968253968
"[6, 2, 6, 0, 45]",34.1,10120832,20160000,0.5020253968253968
"[6, 2, 6, 0, 46]",34.1,10120832,20160000,0.5020253968253968
"[6, 2, 6, 0, 47]",34.1,10120832,20160000,0.5020253968253968
"[6, 2, 6, 0, 48]",34.1,10120832,20160000,0.5020253968253968
"[6, 2, 6, 0, 49]",34.1,10120832,20160000,0.5020253968253968
"[6, 2, 6, 0, 50]",34.1,10120832,20160000,0.5020253968253968
"[6, 2, 6, 0, 51]",34.1,10120832,20160000,0.5020253968253968
"[6, 2, 6, 0, 52]",34.1,10120832,20160000,0.5020253968253968
"[6, 2, 6, 0, 53]",34.1,10120832,20160000,0.5020253968253968
"[6, 2, 6, 0, 54]",35.9,10030898,20160000,0.49756438492063493
"[6, 2, 6, 0, 55]",35.9,10030898,20160000,0.49756438492063493
"[6, 2, 6, 0, 56]",35.9,10030898,20160000,0.49756438492063493
"[6, 2, 6, 0, 57]",35.9,10030898,20160000,0.49756438492063493
"[6, 2, 6, 0, 58]",35.9,10030898,20160000,0.49756438492063493
"[6, 2, 6, 0, 59]",35.9,10030898,20160000,0.49756438492063493
"[6, 2, 6, 0, 60]",35.9,10030898,20160000,0.49756438492063493
